x	y
0.09	-1.47
4.34	12.53
0.68	3.60
2.67	7.89
4.21	13.07
3.48	12.25
4.90	16.41
0.58	1.01
4.68	14.50
0.34	0.34
0.73	0.34
2.05	6.29
4.60	12.17
4.18	13.37
3.09	9.55
-0.42	-2.55
2.30	5.71
0.91	2.75
0.65	1.54
0.52	0.16
1.97	6.11
4.65	12.96
4.80	17.07
2.79	10.32
3.02	8.91
1.25	5.54
1.84	4.61
4.78	15.52
0.25	0.50
4.21	12.39
-0.47	-2.09
2.23	7.84
-0.46	-2.23
-0.11	0.12
2.46	8.76
3.18	11.07
4.39	14.59
4.41	15.22
3.38	11.39
-0.30	-2.65
4.98	16.19
-1.00	-1.83
0.10	-0.06
1.10	2.28
-0.60	-1.10
4.69	14.44
4.73	13.44
4.02	12.51
2.21	6.58
-0.40	-2.02
3.29	10.01
2.27	8.38
0.88	1.83
3.43	11.61
2.29	6.67
2.63	6.93
-0.07	-1.62
4.81	14.79
3.15	9.82
0.72	1.64
2.97	9.89
-0.97	-3.55
2.14	6.69
2.03	4.66
-0.87	-2.03
3.38	11.68
4.20	14.13
3.20	7.89
1.10	3.61
1.28	4.24
0.64	1.38
2.41	7.45
0.89	2.07
3.59	11.77
4.84	14.72
3.41	10.03
0.27	0.33
3.50	10.86
2.67	9.32
-0.71	-0.58
4.55	14.51
1.81	6.14
4.20	13.07
0.62	2.01
1.74	5.45
-0.98	-3.15
0.19	0.48
2.32	6.36
1.33	4.70
1.58	4.24
-0.26	0.82
-0.53	-1.57
-0.40	-0.87
4.08	11.60
-0.10	0.57
3.07	9.38
3.26	10.34
4.79	12.56
0.03	-0.06
2.19	6.32
